Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-06-01,5,33,µg/mc
"Parco S. Chiara",PM10,2018-06-01,6,33,µg/mc
"Parco S. Chiara",PM10,2018-06-01,7,30,µg/mc
"Parco S. Chiara",PM10,2018-06-01,8,30,µg/mc
"Parco S. Chiara",PM10,2018-06-01,9,28,µg/mc
"Parco S. Chiara",PM10,2018-06-01,10,25,µg/mc
"Parco S. Chiara",PM10,2018-06-01,11,23,µg/mc
"Parco S. Chiara",PM10,2018-06-01,12,19,µg/mc
"Parco S. Chiara",PM10,2018-06-01,13,15,µg/mc
"Parco S. Chiara",PM10,2018-06-01,14,13,µg/mc
"Parco S. Chiara",PM10,2018-06-01,15,18,µg/mc
"Parco S. Chiara",PM10,2018-06-01,16,28,µg/mc
"Parco S. Chiara",PM10,2018-06-01,17,30,µg/mc
"Parco S. Chiara",PM10,2018-06-01,18,22,µg/mc
"Parco S. Chiara",PM10,2018-06-01,19,25,µg/mc
"Parco S. Chiara",PM10,2018-06-01,20,38,µg/mc
"Parco S. Chiara",PM10,2018-06-01,21,44,µg/mc
"Parco S. Chiara",PM10,2018-06-01,22,38,µg/mc
"Parco S. Chiara",PM10,2018-06-01,23,39,µg/mc
"Parco S. Chiara",PM10,2018-06-01,24,36,µg/mc
"Parco S. Chiara",PM10,2018-06-02,1,35,µg/mc
"Parco S. Chiara",PM10,2018-06-02,2,32,µg/mc
"Parco S. Chiara",PM10,2018-06-02,3,29,µg/mc
"Parco S. Chiara",PM10,2018-06-02,4,27,µg/mc
"Parco S. Chiara",PM10,2018-06-02,5,26,µg/mc
"Parco S. Chiara",PM10,2018-06-02,6,25,µg/mc
"Parco S. Chiara",PM10,2018-06-02,7,19,µg/mc
"Parco S. Chiara",PM10,2018-06-02,8,17,µg/mc
"Parco S. Chiara",PM10,2018-06-02,9,16,µg/mc
"Parco S. Chiara",PM10,2018-06-02,10,12,µg/mc
"Parco S. Chiara",PM10,2018-06-02,11,9,µg/mc
"Parco S. Chiara",PM10,2018-06-02,12,8,µg/mc
