Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-17,1,26,µg/mc
"Parco S. Chiara",PM10,2019-02-17,2,21,µg/mc
"Parco S. Chiara",PM10,2019-02-17,3,20,µg/mc
"Parco S. Chiara",PM10,2019-02-17,4,17,µg/mc
"Parco S. Chiara",PM10,2019-02-17,5,15,µg/mc
"Parco S. Chiara",PM10,2019-02-17,6,13,µg/mc
"Parco S. Chiara",PM10,2019-02-17,7,13,µg/mc
"Parco S. Chiara",PM10,2019-02-17,8,12,µg/mc
"Parco S. Chiara",PM10,2019-02-17,9,14,µg/mc
"Parco S. Chiara",PM10,2019-02-17,10,12,µg/mc
"Parco S. Chiara",PM10,2019-02-17,11,11,µg/mc
"Parco S. Chiara",PM10,2019-02-17,12,9,µg/mc
"Parco S. Chiara",PM10,2019-02-17,13,8,µg/mc
"Parco S. Chiara",PM10,2019-02-17,14,7,µg/mc
"Parco S. Chiara",PM10,2019-02-17,15,7,µg/mc
"Parco S. Chiara",PM10,2019-02-17,16,8,µg/mc
"Parco S. Chiara",PM10,2019-02-17,17,8,µg/mc
"Parco S. Chiara",PM10,2019-02-17,18,13,µg/mc
"Parco S. Chiara",PM10,2019-02-17,19,22,µg/mc
"Parco S. Chiara",PM10,2019-02-17,20,30,µg/mc
"Parco S. Chiara",PM10,2019-02-17,21,29,µg/mc
"Parco S. Chiara",PM10,2019-02-17,22,29,µg/mc
"Parco S. Chiara",PM10,2019-02-17,23,27,µg/mc
"Parco S. Chiara",PM10,2019-02-17,24,24,µg/mc
"Parco S. Chiara",PM10,2019-02-18,1,24,µg/mc
"Parco S. Chiara",PM10,2019-02-18,2,21,µg/mc
"Parco S. Chiara",PM10,2019-02-18,3,18,µg/mc
"Parco S. Chiara",PM10,2019-02-18,4,15,µg/mc
"Parco S. Chiara",PM10,2019-02-18,5,15,µg/mc
"Parco S. Chiara",PM10,2019-02-18,6,13,µg/mc
"Parco S. Chiara",PM10,2019-02-18,7,12,µg/mc
"Parco S. Chiara",PM10,2019-02-18,8,14,µg/mc
"Parco S. Chiara",PM10,2019-02-18,9,14,µg/mc
"Parco S. Chiara",PM10,2019-02-18,10,16,µg/mc
"Parco S. Chiara",PM10,2019-02-18,11,12,µg/mc
"Parco S. Chiara",PM10,2019-02-18,12,10,µg/mc
